time,east,north,up,accuracy_latitude,accuracy_longitude,accuracy_altitude
1707822224.7,-7.693593314370615,1.2153309755525443,0.014499999999998181,0.0159,0.0278,0.0164
1707822224.8,-7.700947973080211,1.1986118966073085,0.015299999999996317,0.0159,0.0278,0.0164
1707822224.9,-7.707573785204413,1.1817003624218065,0.015900000000002024,0.0159,0.0278,0.0164
1707822225.0,-7.713753135070342,1.16488672518978,0.01640000000000441,0.0204,0.0339,0.0194
1707822225.1,-7.719319127147991,1.1483478641887144,0.01630000000000109,0.0151,0.0285,0.0158
1707822225.2,-7.724568933735018,1.1319614085805874,0.015799999999998704,0.0151,0.0285,0.0158
1707822225.3,-7.729831415933336,1.115688424473427,0.015000000000000568,0.0151,0.0285,0.0158
1707822225.4,-7.735142487825622,1.0993064192414723,0.014099999999999113,0.0151,0.0285,0.0158
1707822225.5,-7.740755661357745,1.0827530954024027,0.013300000000000978,0.0151,0.0285,0.0158
1707822225.6,-7.746633613815574,1.0660317923305473,0.01290000000000191,0.0151,0.0285,0.0158
1707822225.7,-7.7527347974865295,1.049337187269858,0.013199999999997658,0.0151,0.0285,0.0158
1707822225.8,-7.759001468000051,1.0329240329429206,0.014200000000002433,0.0151,0.0285,0.0158
1707822225.9,-7.764950544671468,1.0169191491486407,0.015399999999999636,0.0151,0.0285,0.0158
1707822226.0,-7.770322177749267,1.0014515819354755,0.01649999999999352,0.0194,0.0346,0.0188
1707822226.1,-7.775088903539636,0.9864757193704388,0.017200000000002547,0.0145,0.029,0.0154
1707822226.2,-7.779001435431123,0.971608877222552,0.017200000000002547,0.0145,0.029,0.0154
1707822226.3,-7.782282300461114,0.9566263394470793,0.01649999999999352,0.0145,0.029,0.0154
1707822226.4,-7.785222332953642,0.9412989403307574,0.015199999999992997,0.0145,0.029,0.0154
1707822226.5,-7.788322922946557,0.9255187732888576,0.013999999999995794,0.0145,0.029,0.0154
1707822226.6,-7.79204461682889,0.9093993076994126,0.013300000000000978,0.0145,0.029,0.0154
1707822226.7,-7.796470510137787,0.8931997452458919,0.013199999999997658,0.0145,0.029,0.0154
1707822226.8,-7.801604827983693,0.8773038825764061,0.013800000000003365,0.0145,0.029,0.0154
1707822226.9,-7.807102512774694,0.8620643679517278,0.015000000000000568,0.0145,0.029,0.0154
1707822227.0,-7.8124621744729374,0.8476224825934768,0.01640000000000441,0.0187,0.0351,0.0183
1707822227.1,-7.817176085346909,0.8337802120063058,0.017299999999991655,0.0144,0.0293,0.0152
1707822227.2,-7.820820317266002,0.8203139504396776,0.017700000000004934,0.0144,0.0293,0.0152
1707822227.3,-7.823318112554705,0.8068321136179135,0.017499999999998295,0.0144,0.0293,0.0152
1707822227.4,-7.824865238620343,0.7929720429413429,0.01659999999999684,0.0144,0.0293,0.0152
1707822227.5,-7.825849709398861,0.7785323838326448,0.015299999999996317,0.0144,0.0293,0.0152
1707822227.6,-7.826915867363047,0.7635732075245868,0.013800000000003365,0.0144,0.0293,0.0152
1707822227.7,-7.828513695761865,0.7483481543226234,0.012599999999991951,0.0144,0.0293,0.0152
1707822227.8,-7.830957267782688,0.7332443595415499,0.011799999999993815,0.0144,0.0293,0.0152
1707822227.9,-7.834353621441813,0.7186667564626276,0.011700000000004707,0.0144,0.0293,0.0152
1707822228.0,-7.838437273917758,0.7048556328475056,0.012199999999992883,0.0186,0.0354,0.0182
1707822228.1,-7.842851899966846,0.6921603011208497,0.013400000000004297,0.0145,0.0295,0.0153
1707822228.2,-7.8470996307099,0.6800545709957976,0.015000000000000568,0.0145,0.0295,0.0153
1707822228.3,-7.85068118897225,0.668074548960163,0.01659999999999684,0.0145,0.0295,0.0153
1707822228.4,-7.85339235667774,0.6558052885632084,0.017700000000004934,0.0145,0.0295,0.0153
1707822228.5,-7.85495215835467,0.6429341885609099,0.018000000000000682,0.0145,0.0295,0.0153
1707822228.6,-7.855547911021502,0.6294857270836812,0.017200000000002547,0.0145,0.0295,0.0153
1707822228.7,-7.855492983465894,0.6157302264480883,0.015500000000002956,0.0145,0.0295,0.0153
1707822228.8,-7.855240880039491,0.6020470357566478,0.013300000000000978,0.0145,0.0295,0.0153
1707822228.9,-7.855349326799225,0.588806601236598,0.01120000000000232,0.0145,0.0295,0.0153
1707822229.0,-7.85616126875379,0.5762291913870808,0.009799999999998477,0.0188,0.0356,0.0183
1707822229.1,-7.857901345523788,0.5642847674073119,0.00929999999999609,0.0147,0.0296,0.0155
1707822229.2,-7.8605540646269825,0.5528620847535222,0.010000000000005116,0.0147,0.0296,0.0155
1707822229.3,-7.863762397091905,0.5415539838948973,0.011399999999994748,0.0147,0.0296,0.0155
1707822229.4,-7.867097485557756,0.5300512043770319,0.013199999999997658,0.0147,0.0296,0.0155
1707822229.5,-7.869966393948682,0.5181590654177518,0.01470000000000482,0.0147,0.0296,0.0155
1707822229.6,-7.871832522431883,0.5059009284844719,0.015500000000002956,0.0147,0.0296,0.0155
1707822229.7,-7.87254728483053,0.4935359973835947,0.015500000000002956,0.0147,0.0296,0.0155
1707822229.8,-7.872109272737147,0.48129009774641024,0.0146000000000015,0.0147,0.0296,0.0155
1707822229.9,-7.870976215893791,0.46934901101803705,0.013300000000000978,0.0147,0.0296,0.0155
1707822230.0,-7.869783302040662,0.4577672470532279,0.011899999999997135,0.0191,0.0357,0.0185
1707822230.1,-7.869088257290688,0.44633121397856623,0.010800000000003251,0.015,0.0297,0.0156
1707822230.2,-7.869298812892522,0.4349953026916436,0.010199999999997544,0.015,0.0297,0.0156
1707822230.3,-7.870516373624511,0.42372280059652895,0.010199999999997544,0.015,0.0297,0.0156
1707822230.4,-7.872524750366905,0.4124781110526456,0.010699999999999932,0.015,0.0297,0.0156
1707822230.5,-7.874974660081387,0.40127458094264296,0.011600000000001387,0.015,0.0297,0.0156
1707822230.6,-7.8770865542413375,0.3900866260877761,0.012299999999996203,0.015,0.0297,0.0156
1707822230.7,-7.8784681934644105,0.3789275947859835,0.012500000000002842,0.015,0.0297,0.0156
1707822230.8,-7.878862545094013,0.3678152864190201,0.012199999999992883,0.015,0.0297,0.0156
1707822230.9,-7.878084404750894,0.3567074284282289,0.011300000000005639,0.015,0.0297,0.0156
1707822231.0,-7.876564038203329,0.3456118077335332,0.010000000000005116,0.0194,0.0357,0.0187
1707822231.1,-7.874733823970787,0.33427033294566205,0.008799999999993702,0.0152,0.0296,0.0158
1707822231.2,-7.8732078238493095,0.3229032725637569,0.007800000000003138,0.0152,0.0296,0.0158
1707822231.3,-7.872621225691088,0.3116374463867227,0.0075999999999964984,0.0152,0.0296,0.0158
1707822231.4,-7.873070504932293,0.3005407118596061,0.008099999999998886,0.0152,0.0296,0.0158
1707822231.5,-7.874597913461246,0.289620859440553,0.00929999999999609,0.0152,0.0296,0.0158
1707822231.6,-7.876782340018285,0.2787566278780955,0.01089999999999236,0.0152,0.0296,0.0158
1707822231.7,-7.87884282744534,0.26784901204749345,0.012299999999996203,0.0152,0.0296,0.0158
1707822231.8,-7.8801639055948876,0.2568512861833395,0.013199999999997658,0.0152,0.0296,0.0158
1707822231.9,-7.88021249534485,0.2457612268666589,0.013199999999997658,0.0152,0.0296,0.0158
1707822232.0,-7.878905501214071,0.23461109560956606,0.012199999999992883,0.0196,0.0356,0.0188
1707822232.1,-7.876487984591572,0.22354995984595966,0.010400000000004184,0.0153,0.0295,0.0159
1707822232.2,-7.873495137126655,0.21262676876022182,0.008099999999998886,0.0153,0.0295,0.0159
1707822232.3,-7.870726225106599,0.20197056627787685,0.006000000000000227,0.0153,0.0295,0.0159
1707822232.4,-7.868834745512802,0.1916236277881598,0.004499999999993065,0.0153,0.0295,0.0159
1707822232.5,-7.868104490687911,0.1815025170526659,0.0040000000000048885,0.0153,0.0295,0.0159
1707822232.6,-7.868704468633165,0.1714370278814121,0.004599999999996385,0.0153,0.0295,0.0159
1707822232.7,-7.870293846699114,0.16117018484048176,0.006100000000003547,0.0153,0.0295,0.0159
1707822232.8,-7.872290252005957,0.15053734453319592,0.007999999999995566,0.0153,0.0295,0.0159
1707822232.9,-7.874035962349867,0.13955630634130967,0.010000000000005116,0.0153,0.0295,0.0159
1707822233.0,-7.874751428924254,0.12837280115497046,0.011399999999994748,0.0197,0.0355,0.0189
1707822233.1,-7.874087368858787,0.1173528262405338,0.011799999999993815,0.0155,0.0293,0.016
1707822233.2,-7.871878999542634,0.10666102570232312,0.011099999999999,0.0155,0.0293,0.016
1707822233.3,-7.86837349489204,0.09648762923869586,0.00919999999999277,0.0155,0.0293,0.016
1707822233.4,-7.864384205213055,0.08689493433197258,0.0069000000000016826,0.0155,0.0293,0.016
1707822233.5,-7.86067941210845,0.07777058331360767,0.004599999999996385,0.0155,0.0293,0.016
1707822233.6,-7.858011904810746,0.06881754877942421,0.0030000000000001137,0.0155,0.0293,0.016
1707822233.7,-7.856852792513071,0.059658710707036544,0.002600000000001046,0.0155,0.0293,0.016
1707822233.8,-7.857076727957931,0.049992593439029086,0.0033999999999991815,0.0155,0.0293,0.016
1707822233.9,-7.858318231505029,0.03966345291577818,0.0049999999999954525,0.0155,0.0293,0.016
1707822234.0,-7.8598554988303215,0.028840383617779394,0.007000000000005002,0.0199,0.0353,0.0191
1707822234.1,-7.860773774849416,0.01833547552653041,0.008600000000001273,0.0158,0.0291,0.0162
1707822234.2,-7.860617442571455,0.008275549148580662,0.009599999999991837,0.0158,0.0291,0.0162
1707822234.3,-7.858971024422674,-0.001097992506710986,0.009500000000002728,0.0158,0.0291,0.0162
1707822234.4,-7.8558380412257875,-0.009705053990557858,0.008399999999994634,0.0158,0.0291,0.0162
1707822234.5,-7.851694531908052,-0.017787036189385357,0.006399999999999295,0.0158,0.0291,0.0162
1707822234.6,-7.847243991664298,-0.025732186127476207,0.004199999999997317,0.0158,0.0291,0.0162
1707822234.7,-7.843256110336795,-0.03393765087381292,0.002200000000001978,0.0158,0.0291,0.0162
1707822234.8,-7.840418891030091,-0.042621470555050736,0.0011999999999972033,0.0158,0.0291,0.0162
1707822234.9,-7.838961902371003,-0.051847055778286605,0.0011999999999972033,0.0158,0.0291,0.0162
1707822235.0,-7.838792190362002,-0.061522073090993855,0.002300000000005298,0.0202,0.0352,0.0193
1707822235.1,-7.839516107269261,-0.07148299080598094,0.004099999999993997,0.0162,0.0289,0.0165
1707822235.2,-7.8403597382520545,-0.0812970637983997,0.006100000000003547,0.0162,0.0289,0.0165
1707822235.3,-7.840670994344507,-0.09065169507009332,0.007699999999999818,0.0162,0.0289,0.0165
1707822235.4,-7.8398301802886525,-0.09926765447570653,0.008300000000005525,0.0162,0.0289,0.0165
1707822235.5,-7.837504209648161,-0.10714494555346173,0.007699999999999818,0.0162,0.0289,0.0165
1707822235.6,-7.833790966210685,-0.11450383255663353,0.005899999999996908,0.0162,0.0289,0.0165
1707822235.7,-7.829134799651281,-0.12172143692289655,0.003199999999992542,0.0162,0.0289,0.0165
1707822235.8,-7.824382862055421,-0.12922828035812411,0.00039999999999906777,0.0162,0.0289,0.0165
1707822235.9,-7.820383009404354,-0.1372891252161563,-0.0016999999999995907,0.0162,0.0289,0.0165
1707822236.0,-7.817746486791158,-0.1459262226702093,-0.0024999999999977263,0.0207,0.0349,0.0196
1707822236.1,-7.816611317476571,-0.1549660278636154,-0.00190000000000623,0.0165,0.0286,0.0168
1707822236.2,-7.81668525833713,-0.16420718692669806,-0.0002000000000066393,0.0165,0.0286,0.0168
1707822236.3,-7.817295095078723,-0.1734661460791803,0.001999999999995339,0.0165,0.0286,0.0168
1707822236.4,-7.817662687078267,-0.18235243346251553,0.0040000000000048885,0.0165,0.0286,0.0168
1707822236.5,-7.816973275902203,-0.19055900991833966,0.005099999999998772,0.0165,0.0286,0.0168
1707822236.6,-7.8148515230579,-0.1980046682883786,0.004899999999992133,0.0165,0.0286,0.0168
1707822236.7,-7.811259401935457,-0.2048362511722672,0.003500000000002501,0.0165,0.0286,0.0168
1707822236.8,-7.806450424144778,-0.21132297342295112,0.0010000000000047748,0.0165,0.0286,0.0168
1707822236.9,-7.801269629132127,-0.21785085723044928,-0.00190000000000623,0.0165,0.0286,0.0168
1707822237.0,-7.796289530868978,-0.2246368295966405,-0.004500000000007276,0.0211,0.0347,0.0199
1707822237.1,-7.792179118930954,-0.23171648999267944,-0.006200000000006867,0.017,0.0283,0.017
1707822237.2,-7.78956020132722,-0.2388806962136772,-0.006699999999995043,0.017,0.0283,0.017
1707822237.3,-7.788756709761517,-0.24657443280351093,-0.00549999999999784,0.017,0.0283,0.017
1707822237.4,-7.78848136786373,-0.2549501023245417,-0.0036999999999949296,0.017,0.0283,0.017
1707822237.5,-7.788550379382112,-0.2645194364714948,-0.0011999999999972033,0.017,0.0283,0.017
1707822237.6,-7.7875792883346335,-0.27527464620151343,0.0009000000000014552,0.017,0.0283,0.017
1707822237.7,-7.784975158925408,-0.28730361742153016,0.002300000000005298,0.017,0.0283,0.017
1707822237.8,-7.780309133737644,-0.30046729091361096,0.0027000000000043656,0.017,0.0283,0.017
1707822237.9,-7.772855182944905,-0.31358090563475566,0.0010000000000047748,0.017,0.0283,0.017
1707822238.0,-7.7647639317727535,-0.3256632742923931,-0.0011999999999972033,0.0216,0.0343,0.0201
1707822238.1,-7.756372691599976,-0.33596237743014895,-0.004199999999997317,0.0176,0.0277,0.0173
1707822238.2,-7.748414534122412,-0.3444526308692781,-0.00740000000000407,0.0176,0.0277,0.0173
1707822238.3,-7.742641507321636,-0.35201843382778597,-0.00920000000000698,0.0176,0.0277,0.0173
1707822238.4,-7.7383719463466925,-0.3594852288309757,-0.010000000000005116,0.0176,0.0277,0.0173
1707822238.5,-7.7357776757898,-0.36795212080269024,-0.00929999999999609,0.0176,0.0277,0.0173
1707822238.6,-7.734558706538347,-0.37809214404471564,-0.007000000000005002,0.0176,0.0277,0.0173
1707822238.7,-7.733022143444789,-0.3896104966947833,-0.004500000000007276,0.0176,0.0277,0.0173
1707822238.8,-7.731093341304846,-0.40215230990372386,-0.0018000000000029104,0.0176,0.0277,0.0173
1707822238.9,-7.727719521885372,-0.41464962288916546,-0.00010000000000331966,0.0176,0.0277,0.0173
1707822239.0,-7.722283102511619,-0.4261557396584266,0.0,0.0224,0.0336,0.0205
1707822239.1,-7.715687570784196,-0.4364648566733031,-0.0009000000000014552,0.0184,0.0267,0.0178
1707822239.2,-7.707610403630811,-0.44514088943461755,-0.003500000000002501,0.0184,0.0267,0.0178
1707822239.3,-7.699110012578553,-0.452667757085864,-0.0069000000000016826,0.0184,0.0267,0.0178
1707822239.4,-7.691250442952397,-0.4598330757239937,-0.010000000000005116,0.0184,0.0267,0.0178
1707822239.5,-7.684349992994162,-0.46723534841059905,-0.012299999999996203,0.0184,0.0267,0.0178
1707822239.6,-7.67934172674947,-0.47580347317189553,-0.01269999999999527,0.0184,0.0267,0.0178
1707822239.7,-7.675911571478899,-0.48575771638409115,-0.011399999999994748,0.0184,0.0267,0.0178
1707822239.8,-7.6734011005789045,-0.49698015758533626,-0.009000000000000341,0.0184,0.0267,0.0178
1707822239.9,-7.671401878457109,-0.5091982460865785,-0.005700000000004479,0.0184,0.0267,0.0178
1707822240.0,-7.6686245159362025,-0.5215698523978916,-0.0030000000000001137,0.0233,0.0325,0.021
1707822240.1,-7.664583819748295,-0.5333040224632841,-0.001300000000000523,0.0192,0.0257,0.0183
1707822240.2,-7.659100219032056,-0.543910163344115,-0.0010000000000047748,0.0192,0.0257,0.0183
1707822240.3,-7.651956115980288,-0.5528120245672971,-0.0023999999999944066,0.0192,0.0257,0.0183
1707822240.4,-7.64397260728014,-0.5602231972986023,-0.004800000000003024,0.0192,0.0257,0.0183
1707822240.5,-7.635617281358021,-0.5665886625436852,-0.007699999999999818,0.0192,0.0257,0.0183
1707822240.6,-7.627489411815463,-0.5726348520419531,-0.010400000000004184,0.0192,0.0257,0.0183
1707822240.7,-7.620513612365219,-0.5794252747843165,-0.012000000000000455,0.0192,0.0257,0.0183
1707822240.8,-7.61468847487978,-0.5874749954710295,-0.012200000000007094,0.0192,0.0257,0.0183
1707822240.9,-7.610109770395602,-0.5972145343926767,-0.011099999999999,0.0192,0.0257,0.0183
1707822241.0,-7.606498635800227,-0.608541546342544,-0.008800000000007913,0.0241,0.0314,0.0215
1707822241.1,-7.603098761038422,-0.6207518472162183,-0.0062999999999959755,0.0199,0.0246,0.0188
1707822241.2,-7.599560159008116,-0.6330956430992336,-0.0036999999999949296,0.0199,0.0246,0.0188
1707822241.3,-7.595232853606619,-0.644460477231586,-0.00190000000000623,0.0199,0.0246,0.0188
1707822241.4,-7.589801363631035,-0.6540865467752001,-0.0011000000000080945,0.0199,0.0246,0.0188
1707822241.5,-7.583575536710348,-0.6619404763855407,-0.0014000000000038426,0.0199,0.0246,0.0188
1707822241.6,-7.576309607167806,-0.6682202812655995,-0.002899999999996794,0.0199,0.0246,0.0188
1707822241.7,-7.56837398404188,-0.6738392898476121,-0.005200000000002092,0.0199,0.0246,0.0188
1707822241.8,-7.560259494286355,-0.6798120576922403,-0.007900000000006457,0.0199,0.0246,0.0188
1707822241.9,-7.552237958808326,-0.6867893728815654,-0.010400000000004184,0.0199,0.0246,0.0188
1707822242.0,-7.545137516164344,-0.69542424479371,-0.011800000000008026,0.0249,0.0302,0.0221
1707822242.1,-7.539246888151216,-0.7054596965794687,-0.011600000000001387,0.0206,0.0236,0.0193
1707822242.2,-7.534629452657421,-0.7165008074194117,-0.009900000000001796,0.0206,0.0236,0.0193
1707822242.3,-7.531252112247253,-0.7279290528665056,-0.006799999999998363,0.0206,0.0236,0.0193
1707822242.4,-7.52820715404168,-0.7387165248162831,-0.003299999999995862,0.0206,0.0236,0.0193
1707822242.5,-7.524690382187271,-0.7483069948887426,-0.00039999999999906777,0.0206,0.0236,0.0193
1707822242.6,-7.51991098078561,-0.7564390372737951,0.0011999999999972033,0.0206,0.0236,0.0193
1707822242.7,-7.513221086429209,-0.7631671625338379,0.0009000000000014552,0.0206,0.0236,0.0193
1707822242.8,-7.504908012395413,-0.7690998819464282,-0.0011000000000080945,0.0206,0.0236,0.0193
1707822242.9,-7.495518217481345,-0.774837922699778,-0.004100000000008208,0.0206,0.0236,0.0193
1707822243.0,-7.486041101863691,-0.7809864588200487,-0.00730000000000075,0.0257,0.029,0.0226
1707822243.1,-7.477561836811589,-0.7880127217784669,-0.00929999999999609,0.0212,0.0226,0.0197
1707822243.2,-7.470548010583462,-0.7960146071132187,-0.009900000000001796,0.0212,0.0226,0.0197
